-6.98,2.66,0.81
-6.90,2.75,0.85
-6.73,2.84,0.93
-6.37,2.95,1.02
-6.21,2.96,1.02
-6.04,2.96,1.01
-5.93,2.94,0.98
-5.81,2.92,0.94
-5.66,2.93,0.88
-5.55,2.94,0.81
-5.40,2.94,0.73
-5.25,2.92,0.67
-4.95,2.89,0.58
-4.82,2.85,0.53
-4.69,2.78,0.46
-4.58,2.68,0.36
-4.48,2.54,0.26
-4.39,2.38,0.15
-4.29,2.20,0.07
-4.20,2.01,-0.02
-4.05,1.56,-0.11
-3.98,1.30,-0.13
-3.94,1.01,-0.14
-3.97,0.67,-0.12
-4.04,0.27,-0.14
-4.08,-0.12,-0.19
-4.17,-0.42,-0.24
-4.22,-0.69,-0.29
-4.25,-0.97,-0.37
-4.10,-1.47,-0.54
-3.96,-1.75,-0.66
-3.74,-1.98,-0.81
-3.47,-2.15,-0.94
-3.19,-2.28,-1.04
-2.86,-2.34,-1.11
-2.49,-2.37,-1.17
-2.15,-2.39,-1.23
-1.89,-2.34,-1.23
-1.60,-2.17,-1.18
-1.54,-2.02,-1.14
-1.55,-1.85,-1.06
-1.59,-1.67,-0.96
-1.66,-1.48,-0.85
-1.72,-1.31,-0.74
-1.77,-1.16,-0.63
-1.89,-0.93,-0.45
-1.94,-0.83,-0.37
-1.98,-0.72,-0.31
-2.01,-0.62,-0.26
-2.01,-0.53,-0.21
-1.99,-0.44,-0.15
-1.98,-0.36,-0.11
-1.97,-0.29,-0.07
-1.95,-0.23,-0.04
-1.88,-0.12,0.00
-1.82,-0.07,0.03
-1.77,-0.03,0.05
-1.71,0.02,0.06
-1.64,0.06,0.07
-1.57,0.10,0.09
-1.50,0.15,0.10
-1.43,0.19,0.13
-1.29,0.26,0.18
-1.20,0.32,0.21
-1.07,0.38,0.26
-0.94,0.43,0.31
-0.85,0.49,0.37
-0.76,0.56,0.43
-0.70,0.63,0.50
-0.67,0.71,0.60
-0.64,0.78,0.73
-0.59,0.95,1.00
-0.55,1.06,1.10
-0.48,1.16,1.18
